author,reviewedPaper
Masahiro Aoyagi,Enhancing decentralized service discovery in open service-oriented multi-agent systems.
Noboru Asahi,Hybrid optimization/heuristic instruction scheduling for programmable accelerator codesign.
Noboru Asahi,A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.
Yoshinori Miyamoto,Retrieval of Gray Patterns Depicted on 3D Models.
Masatsugu Nimura,Automatic annotation of tasks in structured code.
Masatsugu Nimura,Non-uniform resampling in perspective compensated large scale 3D visualization.
Masatsugu Nimura,Indoor Location Retrieval using Shape Matching of KinectFusion Scans to Large-Scale Indoor Point Clouds.
Yoshihito Mizutani,TreeSha - 3D Shape Retrieval with a Tree Graph Representation based on the Autodiffusion Function Topology.
Yoshiyuki Arai,3D GrabCut - Interactive Foreground Extraction for Reconstructed 3D Scenes.
Yoshiyuki Arai,Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.
Yoshiyuki Arai,Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.
Rozalia Beica,Enhancing adaptability of amoeboid robot by synergetically coupling two decentralized controllers inspired by true slime mold.
Rozalia Beica,Retrieval and Classification on Textured 3D Models.
Rozalia Beica,Retrieval of Human Subjects from Depth Sensor Data.
Eric Beyne,Automatic Location of Landmarks used in Manual Anthropometry.
Eric Beyne,Retrieval of Gray Patterns Depicted on 3D Models.
Eric Beyne,TreeSha - 3D Shape Retrieval with a Tree Graph Representation based on the Autodiffusion Function Topology.
Bui Thanh Tung,Energy-Efficient Hybrid Precoding Design for Millimeter-Wave Massive MIMO Systems Via Coordinate Update Algorithms.
Naoya Watanabe,Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.
Naoya Watanabe,Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.
Naoya Watanabe,Performance extraction and suitability analysis of multi- and many-core architectures for next generation sequencing secondary analysis.
Naoya Watanabe,Implementation of 3D Object Reconstruction Using Multiple Kinect Cameras.
Masahiro Aoyagi,3D Autostereoscopic Display Image Generation Framework using Direct Light Field Rendering.
Masahiro Aoyagi,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
Masahiro Aoyagi,Exploiting the PANORAMA Representation for Convolutional Neural Network Classification and Retrieval.
Masahiro Aoyagi,Temporal Ensemble of Shape Functions.
Masahiro Aoyagi,Computing in 3D.
Katsuya Kikuchi,Shape Retrieval of Low-Cost RGB-D Captures.
Katsuya Kikuchi,Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.
Katsuya Kikuchi,Experimental Similarity Assessment for a Collection of Fragmented Artifacts.
Chuan-An Cheng,3D system integration research at IMEC.
Chuan-An Cheng,Geodesic-based 3D Shape Retrieval Using Sparse Autoencoders.
Chuan-An Cheng,Synergistic cache layout for reuse and compression.
Chuan-An Cheng,Automatic Location of Landmarks used in Manual Anthropometry.
Ryuichi Sugie,Depth Estimation Algorithm for Color Coded Aperture Camera.
Tomoyuki Uchida,Cimple - instruction and memory level parallelism - a DSL for uncovering ILP and MLP.
Tomoyuki Uchida,Partial Shape Queries for 3D Object Retrieval.
Kou-Hua Chen,Compiler assisted coalescing.
Kou-Hua Chen,3D Object Retrieval with Multimodal Views.
Kou-Hua Chen,Point-Cloud Shape Retrieval of Non-Rigid Toys.
Kou-Hua Chen,3D Volume Matching for Mesh Animation of Moving Actors.
Kou-Hua Chen,Graphphi - efficient parallel graph processing on emerging throughput-oriented architectures.
Chi-Tsung Chiu,Automatic annotation of tasks in structured code.
Chi-Tsung Chiu,ThOR - Three-dimensional Object Retrieval Library.
Kuan-Neng Chen,Blue noise Sampling of surfaces from stereoscopic images.
Kuan-Neng Chen,3D Object Retrieval with Parametric Templates.
Kuan-Neng Chen,Canonical Forms for Non-Rigid 3D Shape Retrieval.
Kuan-Neng Chen,A Spatio-Temporal Descriptor for Dynamic 3D Facial Expression Retrieval and Recognition.
Sumin Choi,2D Scene Sketch-Based 3D Scene Retrieval.
Heegon Kim,3D Object Retrieval with Multimodal Views.
Daniel H. Jung,3D-Xpath - high-density managed DRAM architecture with cost-effective alternative paths for memory transactions.
Daniel H. Jung,Energy-Efficient WiFi Offloading and Network Management in Heterogeneous Wireless Networks.
Daniel H. Jung,Truncated Signed Distance Function Volume Integration Based on Voxel-Level Optimization for 3D Reconstruction.
Jonghoon J. Kim,Energy-Efficient Hybrid Precoding Design for Millimeter-Wave Massive MIMO Systems Via Coordinate Update Algorithms.
Jonghoon J. Kim,Synergistic cache layout for reuse and compression.
Jonghoon J. Kim,Automatic Extraction of Complex 3D Structures Application to the Inner Ear Segmentation from Cone Beam CT Digital Volumes.
Jaemin Lim,Energy-Efficient Hybrid Precoding Design for Millimeter-Wave Massive MIMO Systems Via Coordinate Update Algorithms.
Hyunsuk Lee,Large Scale Comprehensive 3D Shape Retrieval.
Hyunsuk Lee,Temporal Domain Stereo Matching based on Feature Points for Restriction of Error Propagation.
Kyungjun Cho,Non-uniform resampling in perspective compensated large scale 3D visualization.
Kyungjun Cho,Towards an Observer-oriented Theory of Shape Comparison.
Kyungjun Cho,Transactional pre-abort handlers in hardware transactional memory.
Kyungjun Cho,Range Scans based 3D Shape Retrieval.
Joungho Kim,Non-uniform resampling in perspective compensated large scale 3D visualization.
Joungho Kim,Completion of Cultural Heritage Objects with Rotational Symmetry.
Joungho Kim,Copper micro and nano particles mixture for 3D interconnections application.
Hyungsoo Kim,A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.
Hyungsoo Kim,Enhanced Forensic Speaker Verification Using a Combination of DWT and MFCC Feature Warping in the Presence of Noise and Reverberation Conditions.
Hyungsoo Kim,Deformable Shape Retrieval with Missing Parts.
Yong-Ju Kim,High productivity thermal compression bonding for 3D-IC.
Yong-Ju Kim,Non-uniform resampling in perspective compensated large scale 3D visualization.
Yunsaing Kim,Randomized Sub-Volume Partitioning for Part-Based 3D Model Retrieval.
Yunsaing Kim,Temporal Domain Stereo Matching based on Feature Points for Restriction of Error Propagation.
Yuan Yuan Dai,Depth Assisted Composition of Synthetic and Real 3D Scenes.
Mei Zhen Ng,Non-rigid 3D Shape Retrieval.
P. Anantha,Scalability of Non-Rigid 3D Shape Retrieval.
Chee Lip Gan,Compiler assisted coalescing.
Chuan Seng Tan,Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).
Chuan Seng Tan,Energy-Efficient Context-Aware Matching for Resource Allocation in Ultra-Dense Small Cells.
Chuan Seng Tan,Retrieval of Human Subjects from Depth Sensor Data.
Chuan Seng Tan,Biased reference counting - minimizing atomic operations in garbage collection.
Chuan Seng Tan,Partial Matching of Deformable Shapes.
Mohamed N. ElBahey,Engagement Evaluation for Autism Intervention by Robots Based on Dynamic Bayesian Network and Expert Elicitation.
Mohamed N. ElBahey,Depth Estimation Algorithm for Color Coded Aperture Camera.
Mohamed N. ElBahey,Energy-Efficient Big Data Analytics in Datacenters.
Mohamed N. ElBahey,An Edit Distance for Reeb Graphs.
DiaaEldin S. Khalil,Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.
DiaaEldin S. Khalil,Guard-ring monitoring system for inspecting defects in TSV-based data buses.
Hani Fikry Ragai,Energy-Efficient and SLA-Based Resource Management in Cloud Data Centers.
Hani Fikry Ragai,Cost effective speculation with the omnipredictor.
Hani Fikry Ragai,Copper micro and nano particles mixture for 3D interconnections application.
Paul D. Franzon,Structural internal deterioration detection with motion vector field image analysis using monocular camera.
Paul D. Franzon,Log(graph) - a near-optimal high-performance graph representation.
Eric Rotenberg,RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.
Eric Rotenberg,Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.
Eric Rotenberg,Towards concurrency race debugging - an integrated approach for constraint solving and dynamic slicing.
Eric Rotenberg,Revealing parallel scans and reductions in recurrences through function reconstruction.
James Tuck,Retrieval of Objects Captured with Kinect One Camera.
James Tuck,A Spatio-Temporal Descriptor for Dynamic 3D Facial Expression Retrieval and Recognition.
James Tuck,Near-side prefetch throttling - adaptive prefetching for high-performance many-core processors.
Silvia Biasotti,Efficient Filling of Disparity Holes Using Resolution Decoupling.
Silvia Biasotti,Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.
Silvia Biasotti,Partial Matching of Deformable Shapes.
Silvia Biasotti,Depth Estimation Algorithm for Color Coded Aperture Camera.
Silvia Biasotti,3D Object Retrieval with Parametric Templates.
Andrea Cerri,Performance extraction and suitability analysis of multi- and many-core architectures for next generation sequencing secondary analysis.
Andrea Cerri,Experimental Similarity Assessment for a Collection of Fragmented Artifacts.
Mostafa Abdelrahman,Human detection from still depth images.
Mostafa Abdelrahman,Energy-Efficient Wireless Sensing for Level Set Estimations.
Masaki Aono,Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).
Abdessamad Ben Hamza,Partial Shape Queries for 3D Object Retrieval.
Moumen T. El-Melegy,RGB-D to CAD Retrieval with ObjectNN Dataset.
Moumen T. El-Melegy,"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC."
Moumen T. El-Melegy,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Aly A. Farag,Towards concurrency race debugging - an integrated approach for constraint solving and dynamic slicing.
Aly A. Farag,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Aly A. Farag,Energy-Efficient Joint Power Allocation in Uplink Massive MIMO Cognitive Radio Networks With Imperfect CSI.
Aly A. Farag,Energy-Efficient Tracking and Localization of Objects in Wireless Sensor Networks.
Aly A. Farag,Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.
Valeria Garro,Towards Recognizing of 3D Models Using A Single Image.
Valeria Garro,Revealing parallel scans and reductions in recurrences through function reconstruction.
Valeria Garro,Partial Matching of Deformable Shapes.
Andrea Giachetti 0001,Sketch-based 3D Object Retrieval with Skeleton Line Views - Initial Results and Research Problems.
Daniela Giorgi,Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.
Daniela Giorgi,"A portable, automatic data qantizer for deep neural networks."
Daniela Giorgi,Engineering commitment-based business protocols with the 2CL methodology.
Afzal Godil,"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network."
Afzal Godil,High productivity thermal compression bonding for 3D-IC.
Afzal Godil,Log(graph) - a near-optimal high-performance graph representation.
Afzal Godil,Partial Shape Queries for 3D Object Retrieval.
C. Li,Engagement Evaluation for Autism Intervention by Robots Based on Dynamic Bayesian Network and Expert Elicitation.
Y.-J. Liu,Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.
Y.-J. Liu,3D Object Retrieval with Multimodal Views.
Y.-J. Liu,Scalability of Non-Rigid 3D Shape Retrieval.
Y.-J. Liu,3D Objects Exploration - Guidelines for Future Research.
H. Y. Martono,Architectural support for convolutional neural networks on modern CPUs.
Chika Sanada,Energy-Efficient and SLA-Based Resource Management in Cloud Data Centers.
Chika Sanada,Retrieval of Human Subjects from Depth Sensor Data.
Atsushi Tatsuma,Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.
Atsushi Tatsuma,Sketch-based 3D Object Retrieval with Skeleton Line Views - Initial Results and Research Problems.
Atsushi Tatsuma,Enhanced Transmit Antenna Selection Scheme for Secure Throughput Maximization Without CSI at the Transmitter.
Atsushi Tatsuma,Hybrid optimization/heuristic instruction scheduling for programmable accelerator codesign.
Atsushi Tatsuma,Synergistic cache layout for reuse and compression.
Santiago Velasco-Forero,Energy-Efficient Context-Aware Matching for Resource Allocation in Ultra-Dense Small Cells.
Santiago Velasco-Forero,Non-uniform resampling in perspective compensated large scale 3D visualization.
Santiago Velasco-Forero,Energy-Efficient Big Data Analytics in Datacenters.
Santiago Velasco-Forero,RGB-D Object-to-CAD Retrieval.
C.-X. Xu,3D system integration research at IMEC.
C.-X. Xu,Towards the Extraction of Hierarchical Building Descriptions from 3D Indoor Scans.
C.-X. Xu,Manifold Harmonic Transform and Spatial Relationships for Partial 3D Object Retrieval.
C.-X. Xu,Towards Scientific Benchmarks - On Increasing the Credibility of Benchmarks.
Ludovic Blache,Revealing parallel scans and reductions in recurrences through function reconstruction.
Ludovic Blache,Near-side prefetch throttling - adaptive prefetching for high-performance many-core processors.
Ludovic Blache,An Evaluation of Local Feature Encodings for Shape Retrieval.
Ludovic Blache,Energy-Efficient Big Data Analytics in Datacenters.
Ludovic Blache,Cost-driven thread coarsening for GPU kernels.
Céline Loscos,Partial Matching of Deformable Shapes.
Céline Loscos,Hybrid optimization/heuristic instruction scheduling for programmable accelerator codesign.
Céline Loscos,Non-uniform resampling in perspective compensated large scale 3D visualization.
Olivier Nocent,Copper micro and nano particles mixture for 3D interconnections application.
Olivier Nocent,Efficient Filling of Disparity Holes Using Resolution Decoupling.
Olivier Nocent,Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.
Olivier Nocent,Extended Large Scale Sketch-Based 3D Shape Retrieval.
Laurent Lucas,VW-SLP - auto-vectorization with adaptive vector width.
Laurent Lucas,Depth Estimation Algorithm for Color Coded Aperture Camera.
Laurent Lucas,Semantic Correspondence Across 3D Models for Example-based Modeling.
Davide Boscaini,Enhanced Transmit Antenna Selection Scheme for Secure Throughput Maximization Without CSI at the Transmitter.
Davide Boscaini,3D-Xpath - high-density managed DRAM architecture with cost-effective alternative paths for memory transactions.
Ramunas Girdziusas,Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.
Ramunas Girdziusas,Guard-ring monitoring system for inspecting defects in TSV-based data buses.
Ramunas Girdziusas,Towards concurrency race debugging - an integrated approach for constraint solving and dynamic slicing.
Ramunas Girdziusas,Recognition of Geometric Patterns Over 3D Models.
Ramunas Girdziusas,3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.
Michael M. Bronstein,Fisher Encoding of Adaptive Fast Persistent Feature Histograms for Partial Retrieval of 3D Pottery Objects.
Michael M. Bronstein,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
Michael M. Bronstein,Manifold Harmonic Transform and Spatial Relationships for Partial 3D Object Retrieval.
Michael M. Bronstein,Semantic Correspondence Across 3D Models for Example-based Modeling.
Michael M. Bronstein,On-the-fly workload partitioning for integrated CPU/GPU architectures.
Karla Brkic,A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.
Karla Brkic,Computing in 3D.
Karla Brkic,Shape Retrieval and 3D Gestural Interaction.
Aitor Aldoma,Manifold Harmonic Transform and Spatial Relationships for Partial 3D Object Retrieval.
Aitor Aldoma,Performance extraction and suitability analysis of multi- and many-core architectures for next generation sequencing secondary analysis.
Aitor Aldoma,Deformable Shape Retrieval with Missing Parts.
Aitor Aldoma,Directed Curvature Histograms for Robotic Grasping.
Markus Vincze,Indoor Location Retrieval using Shape Matching of KinectFusion Scans to Large-Scale Indoor Point Clouds.
Markus Vincze,Extended Large Scale Sketch-Based 3D Shape Retrieval.
Markus Vincze,Secure High Capacity Data Hiding for 3d Meshes.
Markus Vincze,Enhancing Power Quality in Microgrids With a New Online Control Strategy for DSTATCOM Using Reinforcement Learning Algorithm.
Markus Vincze,The Canonically Posed 3D Objects Dataset.
Sinisa Segvic,RGB-D Object-to-CAD Retrieval.
Zoran Kalafatic,Mage - online and interference-aware scheduling for multi-scale heterogeneous systems.
Antonios Danelakis,Implementation of 3D Object Reconstruction Using Multiple Kinect Cameras.
Antonios Danelakis,Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.
Theoharis Theoharis,Stencil codes on a vector length agnostic architecture.
Theoharis Theoharis,Energy-Efficient Data Gathering Framework-Based Clustering via Multiple UAVs in Deadline-Based WSN Applications.
Theoharis Theoharis,3D Sketch-Based 3D Shape Retrieval.
Theoharis Theoharis,Energy-Efficient Power Control Algorithms in Massive MIMO Cognitive Radio Networks.
Theoharis Theoharis,Near-side prefetch throttling - adaptive prefetching for high-performance many-core processors.
Ioannis Pratikakis,3D integration - Applications and market trends.
Ioannis Pratikakis,Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.
Ioannis Pratikakis,Markerless Motion Capture with Multi-view Structured Light.
Ioannis Pratikakis,Mage - online and interference-aware scheduling for multi-scale heterogeneous systems.
Quoc-Viet Dang,Towards the Extraction of Hierarchical Building Descriptions from 3D Indoor Scans.
Quoc-Viet Dang,Enhancing comparison shopping agents through ordering and gradual information disclosure.
Quoc-Viet Dang,RGB-D Object-to-CAD Retrieval.
Géraldine Morin,3D Sketch-Based 3D Shape Retrieval.
Géraldine Morin,3D integration - Applications and market trends.
Géraldine Morin,Energy-Efficient Context-Aware Matching for Resource Allocation in Ultra-Dense Small Cells.
Géraldine Morin,"A portable, automatic data qantizer for deep neural networks."
Sandrine Mouysset,Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.
Sandrine Mouysset,Retrieval of Objects Captured with Kinect One Camera.
Sandrine Mouysset,Towards Recognizing of 3D Models Using A Single Image.
Valeria Garro,Log(graph) - a near-optimal high-performance graph representation.
Valeria Garro,Energy-Efficient Data Gathering Framework-Based Clustering via Multiple UAVs in Deadline-Based WSN Applications.
Valeria Garro,Copper micro and nano particles mixture for 3D interconnections application.
Valeria Garro,Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.
Andrea Giachetti 0001,3D-Xpath - high-density managed DRAM architecture with cost-effective alternative paths for memory transactions.
E. Mazzi,An Edit Distance for Reeb Graphs.
E. Mazzi,Shape Retrieval and 3D Gestural Interaction.
E. Mazzi,"Towards automated, high resolution 3D scanning of large surfaces for cultural heritage documentation."
E. Mazzi,Shape Similarity System driven by Digital Elevation Models for Non-rigid Shape Retrieval.
Francesco Piscitelli,Synergistic cache layout for reuse and compression.
Francesco Piscitelli,Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.
Francesco Piscitelli,GMOD - a dynamic GPU memory overflow detector.
Francesco Piscitelli,RGB-D Object-to-CAD Retrieval.
Masaki Aono,Towards an Observer-oriented Theory of Shape Comparison.
Masaki Aono,Recognition of Geometric Patterns Over 3D Models.
Masaki Aono,2D Scene Sketch-Based 3D Scene Retrieval.
A. Ben Hamza,"A portable, automatic data qantizer for deep neural networks."
A. Ben Hamza,Large-Scale 3D Shape Retrieval from ShapeNet Core55.
Thomas Bonis,Efficient Filling of Disparity Holes Using Resolution Decoupling.
Thomas Bonis,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Thomas Bonis,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
Peter Claes,Morphological Analysis of 3D Faces for Weight Gain Assessment.
Peter Claes,Truncated Signed Distance Function Volume Integration Based on Voxel-Level Optimization for 3D Reconstruction.
Peter Claes,GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.
Peter Claes,Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.
Afzal Godil,3D Object Retrieval with Parametric Templates.
Afzal Godil,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Afzal Godil,Automatic annotation of tasks in structured code.
Afzal Godil,Protein Shape Retrieval.
Chunyuan Li,"Towards automated, high resolution 3D scanning of large surfaces for cultural heritage documentation."
Chunyuan Li,Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.
Chunyuan Li,3D Autostereoscopic Display Image Generation Framework using Direct Light Field Rendering.
Maks Ovsjanikov,Implementation of 3D Object Reconstruction Using Multiple Kinect Cameras.
Maks Ovsjanikov,GMOD - a dynamic GPU memory overflow detector.
Maks Ovsjanikov,Large Scale Comprehensive 3D Shape Retrieval.
Maks Ovsjanikov,Copper micro and nano particles mixture for 3D interconnections application.
Viorica Patraucean,Non-rigid 3D Shape Retrieval.
Viorica Patraucean,Recognition of Geometric Patterns Over 3D Models.
Viorica Patraucean,GSHOT - a Global Descriptor from SHOT to Reduce Time and Space Requirements.
Viorica Patraucean,"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC."
Viorica Patraucean,VW-SLP - auto-vectorization with adaptive vector width.
Chang Shu 0001,Maximizing system utilization via parallelism management for co-located parallel applications.
Chang Shu 0001,Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.
Chang Shu 0001,Geodesic-based 3D Shape Retrieval Using Sparse Autoencoders.
Chang Shu 0001,Enhancing decentralized service discovery in open service-oriented multi-agent systems.
Chang Shu 0001,Hypart - a hybrid technique for practical memory bandwidth partitioning on commodity servers.
J. Snyders,Blue noise Sampling of surfaces from stereoscopic images.
Paul Suetens,Efficient Filling of Disparity Holes Using Resolution Decoupling.
Paul Suetens,Energy-Efficient Hybrid Precoding Design for Millimeter-Wave Massive MIMO Systems Via Coordinate Update Algorithms.
Paul Suetens,Energy-Efficient Power Control Algorithms in Massive MIMO Cognitive Radio Networks.
Paul Suetens,Retrieval of Gray Patterns Depicted on 3D Models.
Paul Suetens,GSHOT - a Global Descriptor from SHOT to Reduce Time and Space Requirements.
Atsushi Tatsuma,Towards an Observer-oriented Theory of Shape Comparison.
Atsushi Tatsuma,Shape Retrieval of Non-Rigid 3D Human Models.
Atsushi Tatsuma,Retrieval of Objects Captured with Kinect One Camera.
Dirk Vandermeulen,Im2Fit - Fast 3D Model Fitting and Anthropometrics using Single Consumer Depth Camera and Synthetic Data.
Dirk Vandermeulen,Accelerating the Computation of Canonical Forms for 3D Nonrigid Objects using Multidimensional Scaling.
Dirk Vandermeulen,Non-rigid 3D Shape Retrieval.
Stefanie Wuhrer,Partial Matching of Deformable Shapes.
Stefanie Wuhrer,Hybrid optimization/heuristic instruction scheduling for programmable accelerator codesign.
Stefanie Wuhrer,3D Volume Matching for Mesh Animation of Moving Actors.
Stefanie Wuhrer,3D GrabCut - Interactive Foreground Extraction for Reconstructed 3D Scenes.
Stefanie Wuhrer,Manifold Harmonic Transform and Spatial Relationships for Partial 3D Object Retrieval.
Pengcheng Xi,Range Scans based 3D Shape Retrieval.
Pengcheng Xi,A Spatio-Temporal Descriptor for Dynamic 3D Facial Expression Retrieval and Recognition.
Pengcheng Xi,Energy-Efficient WiFi Offloading and Network Management in Heterogeneous Wireless Networks.
Pengcheng Xi,3D shape template generation from RGB-D images capturing a moving and deforming object.
Nguyen Vu Hoàng,ComP-net - command processor networking for efficient intra-kernel communications on GPUs.
Nguyen Vu Hoàng,Performing Image-like Convolution on Triangular Meshes.
Nguyen Vu Hoàng,Guard-ring monitoring system for inspecting defects in TSV-based data buses.
Nguyen Vu Hoàng,Enhanced Forensic Speaker Verification Using a Combination of DWT and MFCC Feature Warping in the Presence of Noise and Reverberation Conditions.
Valérie Gouet-Brunet,Mage - online and interference-aware scheduling for multi-scale heterogeneous systems.
Valérie Gouet-Brunet,3D GrabCut - Interactive Foreground Extraction for Reconstructed 3D Scenes.
Bo Li 0013,Retrieval and Classification on Textured 3D Models.
Bo Li 0013,Deformable Shape Retrieval with Missing Parts.
Y. Lu,Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.
Y. Lu,Markerless Motion Capture with Multi-view Structured Light.
Y. Lu,Scalability of Non-Rigid 3D Shape Retrieval.
Y. Lu,Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.
C. Li,Markerless Motion Capture with Multi-view Structured Light.
C. Li,Canonical Forms for Non-Rigid 3D Shape Retrieval.
Afzal Godil,Point-Cloud Shape Retrieval of Non-Rigid Toys.
Afzal Godil,3D Autostereoscopic Display Image Generation Framework using Direct Light Field Rendering.
