title,author,roleofAuthor
Automatic Location of Landmarks used in Manual Anthropometry.,Stefanie Wuhrer,normal author
Automatic Location of Landmarks used in Manual Anthropometry.,Pengcheng Xi,normal author
Manifold Harmonic Transform and Spatial Relationships for Partial 3D Object Retrieval.,Nguyen Vu Hoàng,corresponding author
Manifold Harmonic Transform and Spatial Relationships for Partial 3D Object Retrieval.,Valérie Gouet-Brunet,normal author
Extended Large Scale Sketch-Based 3D Shape Retrieval.,Bo Li 0013,corresponding author
Extended Large Scale Sketch-Based 3D Shape Retrieval.,Y. Lu,normal author
Extended Large Scale Sketch-Based 3D Shape Retrieval.,C. Li,normal author
Extended Large Scale Sketch-Based 3D Shape Retrieval.,Afzal Godil,normal author
Extended Large Scale Sketch-Based 3D Shape Retrieval.,Tobias Schreck,normal author
Extended Large Scale Sketch-Based 3D Shape Retrieval.,Masaki Aono,normal author
Extended Large Scale Sketch-Based 3D Shape Retrieval.,Martin Burtscher,normal author
Extended Large Scale Sketch-Based 3D Shape Retrieval.,Hongbo Fu,normal author
Extended Large Scale Sketch-Based 3D Shape Retrieval.,Takahiko Furuya,normal author
Extended Large Scale Sketch-Based 3D Shape Retrieval.,Henry Johan,normal author
Extended Large Scale Sketch-Based 3D Shape Retrieval.,Jianzhuang Liu,normal author
Extended Large Scale Sketch-Based 3D Shape Retrieval.,Ryutarou Ohbuchi,normal author
Extended Large Scale Sketch-Based 3D Shape Retrieval.,Atsushi Tatsuma,normal author
Extended Large Scale Sketch-Based 3D Shape Retrieval.,Changqing Zou,normal author
Large Scale Comprehensive 3D Shape Retrieval.,Bo Li 0013,corresponding author
Large Scale Comprehensive 3D Shape Retrieval.,Y. Lu,normal author
Large Scale Comprehensive 3D Shape Retrieval.,C. Li,normal author
Large Scale Comprehensive 3D Shape Retrieval.,Afzal Godil,normal author
Large Scale Comprehensive 3D Shape Retrieval.,Tobias Schreck,normal author
Large Scale Comprehensive 3D Shape Retrieval.,Masaki Aono,normal author
Large Scale Comprehensive 3D Shape Retrieval.,Qiang Chen,normal author
Large Scale Comprehensive 3D Shape Retrieval.,Nihad Karim Chowdhury,normal author
Large Scale Comprehensive 3D Shape Retrieval.,Bin Fang,normal author
Large Scale Comprehensive 3D Shape Retrieval.,Takahiko Furuya,normal author
Large Scale Comprehensive 3D Shape Retrieval.,Henry Johan,normal author
Large Scale Comprehensive 3D Shape Retrieval.,Ryuichi Kosaka,normal author
Large Scale Comprehensive 3D Shape Retrieval.,Hitoshi Koyanagi,normal author
Large Scale Comprehensive 3D Shape Retrieval.,Ryutarou Ohbuchi,normal author
Large Scale Comprehensive 3D Shape Retrieval.,Atsushi Tatsuma,normal author
Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.,Guoliang Luo,corresponding author
Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.,Frederic Cordier,normal author
Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.,Hyewon Seo,normal author
Towards the Extraction of Hierarchical Building Descriptions from 3D Indoor Scans.,Sebastian Ochmann,corresponding author
Towards the Extraction of Hierarchical Building Descriptions from 3D Indoor Scans.,Richard Vock,normal author
Towards the Extraction of Hierarchical Building Descriptions from 3D Indoor Scans.,Raoul Wessel,normal author
Towards the Extraction of Hierarchical Building Descriptions from 3D Indoor Scans.,Reinhard Klein,normal author
The Canonically Posed 3D Objects Dataset.,Panagiotis Papadakis,corresponding author
Shape Retrieval of Non-Rigid 3D Human Models.,David Pickup,corresponding author
Shape Retrieval of Non-Rigid 3D Human Models.,Xianfang Sun,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,Paul L. Rosin,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,Ralph R. Martin,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,Z. Cheng,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,Zhouhui Lian,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,Masaki Aono,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,Abdessamad Ben Hamza,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,Alexander M. Bronstein,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,Michael M. Bronstein,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,S. Bu,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,Umberto Castellani,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,S. Cheng,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,Valeria Garro,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,Andrea Giachetti 0001,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,Afzal Godil,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,J. Han,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,Henry Johan,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,L. Lai,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,Bo Li 0013,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,C. Li,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,Haisheng Li,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,Roee Litman,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,X. Liu,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,Z. Liu,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,Yijuan Lu,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,Atsushi Tatsuma,normal author
Shape Retrieval of Non-Rigid 3D Human Models.,J. Ye,normal author
Quantitative Comparison of Hole Filling Methods for 3D Object Search.,Mario A. Rojas,corresponding author
Quantitative Comparison of Hole Filling Methods for 3D Object Search.,Federico Sukno,normal author
Quantitative Comparison of Hole Filling Methods for 3D Object Search.,John Waddington,normal author
Quantitative Comparison of Hole Filling Methods for 3D Object Search.,Paul F. Whelan,normal author
Fisher Encoding of Adaptive Fast Persistent Feature Histograms for Partial Retrieval of 3D Pottery Objects.,Michalis A. Savelonas,corresponding author
Fisher Encoding of Adaptive Fast Persistent Feature Histograms for Partial Retrieval of 3D Pottery Objects.,Ioannis Pratikakis,normal author
Fisher Encoding of Adaptive Fast Persistent Feature Histograms for Partial Retrieval of 3D Pottery Objects.,Konstantinos Sfikas,normal author
Indoor Location Retrieval using Shape Matching of KinectFusion Scans to Large-Scale Indoor Point Clouds.,Anas Al-Nuaimi,corresponding author
Indoor Location Retrieval using Shape Matching of KinectFusion Scans to Large-Scale Indoor Point Clouds.,Martin Piccolrovazzi,normal author
Indoor Location Retrieval using Shape Matching of KinectFusion Scans to Large-Scale Indoor Point Clouds.,Suat Gedikli,normal author
Indoor Location Retrieval using Shape Matching of KinectFusion Scans to Large-Scale Indoor Point Clouds.,Eckehard G. Steinbach,normal author
Indoor Location Retrieval using Shape Matching of KinectFusion Scans to Large-Scale Indoor Point Clouds.,Georg Schroth,normal author
A Spatio-Temporal Descriptor for Dynamic 3D Facial Expression Retrieval and Recognition.,Antonios Danelakis,corresponding author
A Spatio-Temporal Descriptor for Dynamic 3D Facial Expression Retrieval and Recognition.,Theoharis Theoharis,normal author
A Spatio-Temporal Descriptor for Dynamic 3D Facial Expression Retrieval and Recognition.,Ioannis Pratikakis,normal author
Bag of Compact HKS-based Feature Descriptors.,Hanan ElNaghy,corresponding author
Bag of Compact HKS-based Feature Descriptors.,Safwat Hamad,normal author
Randomized Sub-Volume Partitioning for Part-Based 3D Model Retrieval.,Takahiko Furuya,corresponding author
Randomized Sub-Volume Partitioning for Part-Based 3D Model Retrieval.,Seiya Kurabe,normal author
Randomized Sub-Volume Partitioning for Part-Based 3D Model Retrieval.,Ryutarou Ohbuchi,normal author
3D Object Retrieval with Multimodal Views.,Yue Gao,corresponding author
3D Object Retrieval with Multimodal Views.,Anan Liu,normal author
3D Object Retrieval with Multimodal Views.,Weizhi Nie,normal author
3D Object Retrieval with Multimodal Views.,Yuting Su,normal author
3D Object Retrieval with Multimodal Views.,Qionghai Dai,normal author
3D Object Retrieval with Multimodal Views.,Fuhai Chen,normal author
3D Object Retrieval with Multimodal Views.,Yingying Chen,normal author
3D Object Retrieval with Multimodal Views.,Yanhua Cheng,normal author
3D Object Retrieval with Multimodal Views.,Shuilong Dong,normal author
3D Object Retrieval with Multimodal Views.,Xingyue Duan,normal author
3D Object Retrieval with Multimodal Views.,Jianlong Fu,normal author
3D Object Retrieval with Multimodal Views.,Zan Gao,normal author
3D Object Retrieval with Multimodal Views.,Haiyun Guo,normal author
3D Object Retrieval with Multimodal Views.,Xin Guo,normal author
3D Object Retrieval with Multimodal Views.,Kaiqi Huang,normal author
3D Object Retrieval with Multimodal Views.,Rongrong Ji,normal author
3D Object Retrieval with Multimodal Views.,Yingfeng Jiang,normal author
3D Object Retrieval with Multimodal Views.,Haisheng Li,normal author
3D Object Retrieval with Multimodal Views.,Hanqing Lu,normal author
3D Object Retrieval with Multimodal Views.,Jianming Song,normal author
3D Object Retrieval with Multimodal Views.,Jing Sun,normal author
3D Object Retrieval with Multimodal Views.,Tieniu Tan,normal author
3D Object Retrieval with Multimodal Views.,Jinqiao Wang,normal author
3D Object Retrieval with Multimodal Views.,Huanpu Yin,normal author
3D Object Retrieval with Multimodal Views.,Chaoli Zhang,normal author
3D Object Retrieval with Multimodal Views.,Guotai Zhang,normal author
3D Object Retrieval with Multimodal Views.,Yan Zhang,normal author
3D Object Retrieval with Multimodal Views.,Chaoyang Zhao,normal author
3D Object Retrieval with Multimodal Views.,Xin Zhao,normal author
3D Object Retrieval with Multimodal Views.,Guibo Zhu,normal author
3D Object Retrieval with Parametric Templates.,Roman Getto,corresponding author
3D Object Retrieval with Parametric Templates.,Dieter W. Fellner,normal author
Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.,Andrea Giachetti 0001,corresponding author
Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.,Francesco Farina,normal author
Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.,Francesco Fornasa,normal author
Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.,Atsushi Tatsuma,normal author
Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.,Chika Sanada,normal author
Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.,Masaki Aono,normal author
Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.,Silvia Biasotti,normal author
Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.,Andrea Cerri,normal author
Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.,Sungbin Choi,normal author
Morphological Analysis of 3D Faces for Weight Gain Assessment.,Daniela Giorgi,corresponding author
Morphological Analysis of 3D Faces for Weight Gain Assessment.,Maria Antonietta Pascali,normal author
Morphological Analysis of 3D Faces for Weight Gain Assessment.,Giovanni Raccichini,normal author
Morphological Analysis of 3D Faces for Weight Gain Assessment.,Sara Colantonio,normal author
Morphological Analysis of 3D Faces for Weight Gain Assessment.,Ovidio Salvetti,normal author
Range Scans based 3D Shape Retrieval.,Afzal Godil,corresponding author
Range Scans based 3D Shape Retrieval.,Helin Dutagaci,normal author
Range Scans based 3D Shape Retrieval.,Benjamin Bustos,normal author
Range Scans based 3D Shape Retrieval.,S. Choi,normal author
Range Scans based 3D Shape Retrieval.,Suchuan Dong,normal author
Range Scans based 3D Shape Retrieval.,Takahiko Furuya,normal author
Range Scans based 3D Shape Retrieval.,H. Li,normal author
Range Scans based 3D Shape Retrieval.,Norman Link,normal author
Range Scans based 3D Shape Retrieval.,A. Moriyama,normal author
Range Scans based 3D Shape Retrieval.,Rafael Meruane,normal author
Range Scans based 3D Shape Retrieval.,Ryutarou Ohbuchi,normal author
Range Scans based 3D Shape Retrieval.,Dietrich Paulus,normal author
Range Scans based 3D Shape Retrieval.,Tobias Schreck,normal author
Range Scans based 3D Shape Retrieval.,Viktor Seib,normal author
Range Scans based 3D Shape Retrieval.,Ivan Sipiran,normal author
Range Scans based 3D Shape Retrieval.,Huarui Yin,normal author
Range Scans based 3D Shape Retrieval.,C. Zhang,normal author
Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.,Robert Gregor,corresponding author
Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.,Danny Bauer,normal author
Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.,Ivan Sipiran,normal author
Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.,Panagiotis Perakis,normal author
Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.,Tobias Schreck,normal author
Towards Scientific Benchmarks - On Increasing the Credibility of Benchmarks.,Odd Erik Gundersen,corresponding author
RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.,Anestis Koutsoudis,corresponding author
RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.,George Ioannakis,normal author
RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.,Ioannis Pratikakis,normal author
RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.,Christos Chamzas,normal author
Non-rigid 3D Shape Retrieval.,Zhouhui Lian,corresponding author
Non-rigid 3D Shape Retrieval.,J. Zhang,normal author
Non-rigid 3D Shape Retrieval.,S. Choi,normal author
Non-rigid 3D Shape Retrieval.,Hanan ElNaghy,normal author
Non-rigid 3D Shape Retrieval.,Jihad El-Sana,normal author
Non-rigid 3D Shape Retrieval.,Takahiko Furuya,normal author
Non-rigid 3D Shape Retrieval.,Andrea Giachetti 0001,normal author
Non-rigid 3D Shape Retrieval.,Riza Alp Güler,normal author
Non-rigid 3D Shape Retrieval.,L. Lai,normal author
Non-rigid 3D Shape Retrieval.,C. Li,normal author
Non-rigid 3D Shape Retrieval.,H. Li,normal author
Non-rigid 3D Shape Retrieval.,Frederico A. Limberger,normal author
Non-rigid 3D Shape Retrieval.,Ralph R. Martin,normal author
Non-rigid 3D Shape Retrieval.,Rafael Umino Nakanishi,normal author
Non-rigid 3D Shape Retrieval.,Afonso Neto,normal author
Non-rigid 3D Shape Retrieval.,Luis Gustavo Nonato,normal author
Non-rigid 3D Shape Retrieval.,Ryutarou Ohbuchi,normal author
Non-rigid 3D Shape Retrieval.,Kirill Pevzner,normal author
Non-rigid 3D Shape Retrieval.,David Pickup,normal author
Non-rigid 3D Shape Retrieval.,Paul L. Rosin,normal author
Non-rigid 3D Shape Retrieval.,Andrei Sharf,normal author
Non-rigid 3D Shape Retrieval.,L. Sun,normal author
Non-rigid 3D Shape Retrieval.,Xianfang Sun,normal author
Non-rigid 3D Shape Retrieval.,Sibel Tari,normal author
Non-rigid 3D Shape Retrieval.,Gözde B. Ünal,normal author
Non-rigid 3D Shape Retrieval.,Richard C. Wilson 0001,normal author
3D GrabCut - Interactive Foreground Extraction for Reconstructed 3D Scenes.,Gregory P. Meyer,corresponding author
3D GrabCut - Interactive Foreground Extraction for Reconstructed 3D Scenes.,Minh N. Do,normal author
ThOR - Three-dimensional Object Retrieval Library.,Pedro B. Pascoal,corresponding author
ThOR - Three-dimensional Object Retrieval Library.,Alfredo Ferreira,normal author
Retrieval of Objects Captured with Kinect One Camera.,Pedro B. Pascoal,corresponding author
Retrieval of Objects Captured with Kinect One Camera.,Pedro F. Proença,normal author
Retrieval of Objects Captured with Kinect One Camera.,Filipe Gaspar,normal author
Retrieval of Objects Captured with Kinect One Camera.,Miguel Sales Dias,normal author
Retrieval of Objects Captured with Kinect One Camera.,Luís Filipe Teixeira,normal author
Retrieval of Objects Captured with Kinect One Camera.,Alfredo Ferreira,normal author
Retrieval of Objects Captured with Kinect One Camera.,Viktor Seib,normal author
Retrieval of Objects Captured with Kinect One Camera.,Norman Link,normal author
Retrieval of Objects Captured with Kinect One Camera.,Dietrich Paulus,normal author
Retrieval of Objects Captured with Kinect One Camera.,Atsushi Tatsuma,normal author
Retrieval of Objects Captured with Kinect One Camera.,Masaki Aono,normal author
Canonical Forms for Non-Rigid 3D Shape Retrieval.,David Pickup,corresponding author
Canonical Forms for Non-Rigid 3D Shape Retrieval.,Xianfang Sun,normal author
Canonical Forms for Non-Rigid 3D Shape Retrieval.,Paul L. Rosin,normal author
Canonical Forms for Non-Rigid 3D Shape Retrieval.,Ralph R. Martin,normal author
Canonical Forms for Non-Rigid 3D Shape Retrieval.,Zhi-Quan Cheng,normal author
Canonical Forms for Non-Rigid 3D Shape Retrieval.,Sipin Nie,normal author
Canonical Forms for Non-Rigid 3D Shape Retrieval.,Longcun Jin,normal author
Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.,Michalis A. Savelonas,corresponding author
Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.,Ioannis Pratikakis,normal author
Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.,Konstantinos Sfikas,normal author
Accelerating the Computation of Canonical Forms for 3D Nonrigid Objects using Multidimensional Scaling.,Gil Shamai,corresponding author
Accelerating the Computation of Canonical Forms for 3D Nonrigid Objects using Multidimensional Scaling.,Michael Zibulevsky,normal author
Accelerating the Computation of Canonical Forms for 3D Nonrigid Objects using Multidimensional Scaling.,Ron Kimmel,normal author
Scalability of Non-Rigid 3D Shape Retrieval.,Ivan Sipiran,corresponding author
Scalability of Non-Rigid 3D Shape Retrieval.,Benjamin Bustos,normal author
Scalability of Non-Rigid 3D Shape Retrieval.,Tobias Schreck,normal author
Scalability of Non-Rigid 3D Shape Retrieval.,Alexander M. Bronstein,normal author
Scalability of Non-Rigid 3D Shape Retrieval.,S. Choi,normal author
